MonitoringLocationID,MonitoringLocationName,Date,Characteristic,Value,Unit,Latitude,Longitude,Year
KICKAPOO07-DH.2019.WQ 19,DH.2019.WQ 19 CoyoteK20,2019-09-06,Dissolved oxygen (DO),6.3,mg/L,39.6682,-95.71403,2019
NARS_WQX-NRS_KS-10250,Neosho River,2019-09-25,Nitrate,0.5087,mg/L,38.05708438,-95.63541799,2019
PRAIRIEBAND-MW07,MW07,2019-11-19,Silica,18.0,mg/L,39.3298,-95.8564,2019
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2019-07-11,Total suspended solids,410.0,mg/L,39.3758,-95.9183,2019
PRAIRIEBAND-MW01,MW01,2019-11-20,Barium,0.089,mg/L,39.2854,-95.7498,2019
NARS_WQX-NRS_KS-10226,Rock Creek,2019-07-17,"Temperature, water",23.9,deg C,39.32949678,-95.35688326,2019
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2019-01-14,Chloride,33.2,mg/L,39.980149,-97.003893,2019
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2019-08-27,Sulfate,17.0,mg/L,39.3758,-95.9183,2019
NARS_WQX-NRS_KS-10269,Horseshoe Creek,2019-07-22,"Temperature, water",24.3,deg C,39.92164243,-96.71631982,2019
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2019-12-02,Sulfate,63.5,mg/L,39.980149,-97.003893,2019
NARS_WQX-NRS_KS-10199,,2019-08-19,Ammonia,0.006,mg/L,37.07185357,-97.50849573,2019
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2019-06-27,Nitrate,1.8,mg/L,39.3758,-95.9183,2019
PRAIRIEBAND-LSCO3,Little Soldier Creek #3,2019-06-24,Atrazine,1.4,ug/L,39.3225,-95.7758,2019
NARS_WQX-NRS_KS-10222,Missouri River,2019-09-18,"Total Nitrogen, mixed forms",1.554,mg/L,39.20750693,-94.81716042,2019
NARS_WQX-NRS_KS-10293,Mud Creek,2019-07-09,Total suspended solids,7.6,mg/L,38.51416207,-95.96179912,2019
NARS_WQX-NRS_KS-10250,Neosho River,2019-09-25,Conductivity,267.9,uS/cm,38.05708438,-95.63541799,2019
PRAIRIEBAND-LSCO6,Big Elm Creek #6,2019-06-24,Arsenic,3.6,mg/L,39.2888,-95.7483,2019
PRAIRIEBAND-SCO3,Big Soldier Creek #3,2019-06-24,Manganese,0.44,mg/L,39.3758,-95.9183,2019
SACFOXMO-Site D,Walnut Creek- South Boundary,2019-07-23,pH,7.54,,39.9153556,-95.5657361111,2019
21NEB001_WQX-SRE1REPUB000,Republican River south of Hardy,2019-03-05,Specific conductance,908.0,umho/cm,39.992569,-97.931967,2019
NARS_WQX-NRS_KS-10264,West Branch Mill Creek,2019-07-08,Magnesium,20.558,mg/L,38.91041431,-96.45214179,2019
NARS_WQX-NRS_KS-10199,,2019-08-19,Organic carbon,2.9,mg/L,37.07185357,-97.50849573,2019
NARS_WQX-NRS_KS-10208,Solomon River,2019-10-07,"Temperature, water",18.1,deg C,39.01991425,-97.62109954,2019
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2019-10-07,Calcium,48.4,mg/L,39.980149,-97.003893,2019
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2019-04-01,Arsenic,3.9,ug/L,39.980149,-97.003893,2019
21NEB001_WQX-SLB1LBLUE000,"Little Blue River west of Hollenberg, KS",2019-10-07,Arsenic,4.6,ug/L,39.980149,-97.003893,2019
