MonitoringLocationID,Records,Mean_Value,Median_Value,Max_Value,Latitude,Longitude
PRAIRIEBAND-MW11,2,8.8,8.8,9.8,39.3858,-95.7932
PRAIRIEBAND-MW08,2,6.699999999999999,6.699999999999999,8.6,39.3318,-95.7814
NARS_WQX-NRS_KS-10435,1,6.19,6.19,6.19,39.58314228,-95.22446835
NARS_WQX-NRS_KS-10449,1,5.02,5.02,5.02,39.78982916,-95.06722268
NARS_WQX-NRS_KS-10249,1,4.65,4.65,4.65,37.64636548,-98.19185293
NARS_WQX-NRS_KS-10248,1,3.3074,3.3074,3.3074,37.82311746,-97.0303315
NARS_WQX-NRS_KS-10210,2,3.1957,3.1957,3.6902,39.75447276,-95.69903262
NARS_WQX-NRS_KS-10368,1,3.1,3.1,3.1,39.72738834,-97.01089354
NARS_WQX-NRS_KS-10404,1,3.01,3.01,3.01,39.76648562,-96.12754016
NARS_WQX-NRS_KS-10205,1,2.7479,2.7479,2.7479,39.99441929,-96.57905059
NARS_WQX-NRS_KS-10443,1,2.26,2.26,2.26,39.83518293,-95.53318623
NARS_WQX-NRS_KS-10468,1,1.84,1.84,1.84,39.00631846,-99.74227905
NARS_WQX-NRS_KS-10367,1,1.84,1.84,1.84,37.20753864,-97.63141656
21NEB001_WQX-SLB1LBLUE000,155,1.6398696774193549,1.73,7.55,39.980149,-97.003893
NARS_WQX-NWC_KS-10130,1,1.63,1.63,1.63,39.139578,-95.020855
21NEB001_WQX-SRE1REPUB000,87,1.4862183908045976,1.25,3.74,39.992569,-97.931967
NARS_WQX-NRS_KS-10050,1,1.3473,1.3473,1.3473,39.49522569,-97.23190219
NARS_WQX-NRS_KS-10046,1,1.3143,1.3143,1.3143,39.25252179,-96.32659742
NARS_WQX-NRS_KS-10360,1,1.27,1.27,1.27,39.35926743,-97.76596877
PRAIRIEBAND-SCO7,18,1.151111111111111,1.05,3.3,39.2658,-95.8864
PRAIRIEBAND-SCO3,25,1.1228,0.83,2.9,39.3758,-95.9183
PRAIRIEBAND-LSCO6,10,1.107,1.15,1.8,39.2888,-95.7483
PRAIRIEBAND-MW10,1,1.1,1.1,1.1,39.3873,-95.8494
NARS_WQX-NRS_KS-10269,2,1.03485,1.03485,2.0217,39.92164243,-96.71631982
PRAIRIEBAND-MW09,1,0.97,0.97,0.97,39.3904,-95.9053
