"source","Contaminant","Collection.Date","Highest.Value","Range..low.high.","Unit","MCL","MCLG","Typical.Source","Year"
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","ARSENIC","1/10/2018","1.1","1.1","ppb","10","0","Erosion of natural deposits",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","ATRAZINE","8/20/2018","0.74","0.74","ppb","3","3","Runoff from herbicide used on row crops",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","BARIUM","1/10/2018","0.12","0.12","ppm","2","2","Discharge from metal refineries",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","CHROMIUM","1/10/2018","5.2","5.2","ppb","100","100","Discharge from steel and pulp mills",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","FLUORIDE","1/10/2018","0.35","0.35","ppm","4","4","Natural deposits; Water additive which promotes strong teeth.",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","NITRATE","1/10/2018","9.6","8.3 - 9.6","ppm","10","10","Runoff from fertilizer use",2019
"ABBYVILLE_CITY_OF-KS2015512.docxx.docx","SELENIUM","1/10/2018","2.7","2.7","ppb","50","50","Erosion of natural deposits",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","ARSENIC","4/4/2018","1.2","1.2","ppb","10","0","Erosion of natural deposits",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","BARIUM","4/4/2018","0.11","0.11","ppm","2","2","Discharge from metal refineries",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","CHROMIUM","4/4/2018","1.9","1.9","ppb","100","100","Discharge from steel and pulp mills",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","FLUORIDE","4/4/2018","0.63","0.53 - 0.63","ppm","4","4","Natural deposits; Water additive which promotes strong teeth.",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","NITRATE","4/4/2018","2.4","2.4","ppm","10","10","Runoff from fertilizer use",2019
"ABILENE_CITY_OF-KS2004112.docxx.docx","SELENIUM","4/4/2018","5.3","5.3","ppb","50","50","Erosion of natural deposits",2019
"ADMIRE_CITY_OF-KS2011103.docxx.docx","ARSENIC","4/24/2018","1.2","1.2","ppb","10","0","Erosion of natural deposits",2019
"ADMIRE_CITY_OF-KS2011103.docxx.docx","BARIUM","4/24/2018","0.015","0.015","ppm","2","2","Discharge from metal refineries",2019
"ADMIRE_CITY_OF-KS2011103.docxx.docx","FLUORIDE","4/24/2018","0.44","0.17 - 0.44","ppm","4","4","Natural deposits; Water additive which promotes strong teeth.",2019
"ADMIRE_CITY_OF-KS2011103.docxx.docx","NITRATE","4/24/2018","0.33","0.33","ppm","10","10","Runoff from fertilizer use",2019
