source,Contaminant,Collection.Date,Highest.Value,Range..low.high.,Unit,MCL,MCLG,Typical.Source,Year,Year_num,Highest_ppb,MCL_ppb
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,ARSENIC,2018-01-10,1.1,1.1,ppb,10.0,0,Erosion of natural deposits,2019,2019,1.1,10.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,ATRAZINE,2018-08-20,0.74,0.74,ppb,3.0,3,Runoff from herbicide used on row crops,2019,2019,0.74,3.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,BARIUM,2018-01-10,0.12,0.12,ppm,2.0,2,Discharge from metal refineries,2019,2019,120.0,2000.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,CHROMIUM,2018-01-10,5.2,5.2,ppb,100.0,100,Discharge from steel and pulp mills,2019,2019,5.2,100.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,FLUORIDE,2018-01-10,0.35,0.35,ppm,4.0,4,Natural deposits; Water additive which promotes strong teeth.,2019,2019,350.0,4000.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,NITRATE,2018-01-10,9.6,8.3 - 9.6,ppm,10.0,10,Runoff from fertilizer use,2019,2019,9600.0,10000.0
ABBYVILLE_CITY_OF-KS2015512.docxx.docx,SELENIUM,2018-01-10,2.7,2.7,ppb,50.0,50,Erosion of natural deposits,2019,2019,2.7,50.0
ABILENE_CITY_OF-KS2004112.docxx.docx,ARSENIC,2018-04-04,1.2,1.2,ppb,10.0,0,Erosion of natural deposits,2019,2019,1.2,10.0
ABILENE_CITY_OF-KS2004112.docxx.docx,BARIUM,2018-04-04,0.11,0.11,ppm,2.0,2,Discharge from metal refineries,2019,2019,110.0,2000.0
ABILENE_CITY_OF-KS2004112.docxx.docx,CHROMIUM,2018-04-04,1.9,1.9,ppb,100.0,100,Discharge from steel and pulp mills,2019,2019,1.9,100.0
ABILENE_CITY_OF-KS2004112.docxx.docx,FLUORIDE,2018-04-04,0.63,0.53 - 0.63,ppm,4.0,4,Natural deposits; Water additive which promotes strong teeth.,2019,2019,630.0,4000.0
ABILENE_CITY_OF-KS2004112.docxx.docx,NITRATE,2018-04-04,2.4,2.4,ppm,10.0,10,Runoff from fertilizer use,2019,2019,2400.0,10000.0
ABILENE_CITY_OF-KS2004112.docxx.docx,SELENIUM,2018-04-04,5.3,5.3,ppb,50.0,50,Erosion of natural deposits,2019,2019,5.3,50.0
ADMIRE_CITY_OF-KS2011103.docxx.docx,ARSENIC,2018-04-24,1.2,1.2,ppb,10.0,0,Erosion of natural deposits,2019,2019,1.2,10.0
ADMIRE_CITY_OF-KS2011103.docxx.docx,BARIUM,2018-04-24,0.015,0.015,ppm,2.0,2,Discharge from metal refineries,2019,2019,15.0,2000.0
ADMIRE_CITY_OF-KS2011103.docxx.docx,FLUORIDE,2018-04-24,0.44,0.17 - 0.44,ppm,4.0,4,Natural deposits; Water additive which promotes strong teeth.,2019,2019,440.0,4000.0
ADMIRE_CITY_OF-KS2011103.docxx.docx,NITRATE,2018-04-24,0.33,0.33,ppm,10.0,10,Runoff from fertilizer use,2019,2019,330.0,10000.0
ADMIRE_CITY_OF-KS2011103.docxx.docx,SELENIUM,2018-04-24,1.3,1.3,ppb,50.0,50,Erosion of natural deposits,2019,2019,1.3,50.0
AGENDA_CITY_OF-KS2015705.docxx.docx,ARSENIC,2017-03-21,4.3,4.3,ppb,10.0,0,Erosion of natural deposits,2019,2019,4.3,10.0
AGENDA_CITY_OF-KS2015705.docxx.docx,ATRAZINE,2017-09-25,0.26,0.26,ppb,3.0,3,Runoff from herbicide used on row crops,2019,2019,0.26,3.0
AGENDA_CITY_OF-KS2015705.docxx.docx,BARIUM,2017-03-21,0.28,0.28,ppm,2.0,2,Discharge from metal refineries,2019,2019,280.0,2000.0
AGENDA_CITY_OF-KS2015705.docxx.docx,CHROMIUM,2017-03-21,6.3,6.3,ppb,100.0,100,Discharge from steel and pulp mills,2019,2019,6.3,100.0
AGENDA_CITY_OF-KS2015705.docxx.docx,NITRATE,2018-05-14,10.0,10,ppm,10.0,10,Runoff from fertilizer use,2019,2019,10000.0,10000.0
AGENDA_CITY_OF-KS2015705.docxx.docx,SELENIUM,2017-03-21,6.7,6.7,ppb,50.0,50,Erosion of natural deposits,2019,2019,6.7,50.0
AGRA_CITY_OF-KS2014707.docxx.docx,ARSENIC,2018-01-08,6.4,6.4,ppb,10.0,0,Erosion of natural deposits,2019,2019,6.4,10.0
AGRA_CITY_OF-KS2014707.docxx.docx,BARIUM,2018-01-08,0.069,0.069,ppm,2.0,2,Discharge from metal refineries,2019,2019,69.0,2000.0
