Contaminant,Total_Records,Mean_ppb,Median_ppb,Max_ppb,Exceedance_Count,Exceedance_Rate,Outlier_Count,Outlier_Rate
BARIUM,3086,126.75174983797797,90.0,850.0,0,0.0,182,0.05897602073882048
FLUORIDE,2627,557.5032356299962,360.0,28000.0,8,0.0030452988199467074,115,0.04377617053673392
SELENIUM,2408,6.541029900332226,3.8,1300.0,13,0.005398671096345515,130,0.05398671096345515
NITRATE,2406,3912.9384871155444,3200.0,37000.0,83,0.03449709060681629,22,0.00914380714879468
CHROMIUM,2057,3.927467185221196,2.2,2600.0,1,0.0004861448711716091,106,0.051531356344190565
ARSENIC,2008,3.070617529880478,2.2,110.0,19,0.009462151394422311,67,0.03336653386454183
ATRAZINE,846,0.972452718676123,0.6,10.0,53,0.06264775413711583,54,0.06382978723404255
COMBINED RADIUM (-226 & -228),141,1.491985815602837,1.0,7.0,4,0.028368794326241134,6,0.0425531914893617
METHOXYCHLOR,75,440.11493333333334,0.25,1000.0,33,0.44,0,0.0
"GROSS ALPHA, INCL. RADON & U",48,4.570833333333334,3.5,20.0,3,0.0625,2,0.041666666666666664
NITRATE-NITRITE,42,1034.2857142857142,990.0,3600.0,0,0.0,1,0.023809523809523808
"XYLENES, TOTAL",41,3.1721951219512197,2.0,9.4,0,0.0,0,0.0
RADIUM-228,28,0.9928571428571429,0.8,2.0,3,0.10714285714285714,5,0.17857142857142858
CARBON TETRACHLORIDE,28,1.435,0.8300000000000001,13.0,1,0.03571428571428571,2,0.07142857142857142
RADIUM-226,27,1.237037037037037,1.0,6.0,4,0.14814814814814814,10,0.37037037037037035
"2,4-D",27,4.126666666666667,0.34,13.0,0,0.0,0,0.0
NITRITE,25,100.32,140.0,140.0,0,0.0,0,0.0
TETRACHLOROETHYLENE,24,0.9383333333333334,0.91,1.5,0,0.0,0,0.0
PICLORAM,22,0.15454545454545457,0.2,0.2,0,0.0,0,0.0
"ANTIMONY, TOTAL",19,1.3263157894736841,1.2,1.7,0,0.0,0,0.0
CADMIUM,16,2.85,2.85,3.1,0,0.0,0,0.0
ETHYLBENZENE,12,1.0291666666666666,0.97,2.1,0,0.0,1,0.08333333333333333
TOLUENE,10,1402.288,1.0,9000.0,2,0.2,2,0.2
COMBINED URANIUM,8,8.55,8.55,12.0,0,0.0,0,0.0
STYRENE,7,0.7214285714285714,0.68,1.0,0,0.0,0,0.0
DICHLOROMETHANE,6,1.7,1.7,1.7,0,0.0,0,0.0
DI(2-ETHYLHEXYL) PHTHALATE,6,1.0,1.0,1.0,0,0.0,0,0.0
"GROSS ALPHA, EXCL. RADON & U",4,12.1,12.1,12.1,0,0.0,0,0.0
GROSS BETA PARTICLE ACTIVITY,4,6.6,6.6,6.6,4,1.0,0,0.0
TRICHLOROETHYLENE,4,1.545,1.55,2.5,0,0.0,0,0.0
ENDRIN,3,0.11,0.11,0.11,0,0.0,0,0.0
"THALLIUM, TOTAL",3,1.0,1.0,1.0,0,0.0,0,0.0
BENZENE,2,1.3,1.3,1.3,0,0.0,0,0.0
P-DICHLOROBENZENE,2,3.35,3.35,5.9,0,0.0,0,0.0
"1,2-DICHLOROETHANE",2,0.73,0.73,0.89,0,0.0,0,0.0
"1,2,4-TRICHLOROBENZENE",1,0.67,0.67,0.67,0,0.0,0,0.0
SILICA,1,4200.0,4200.0,4200.0,0,0.0,0,0.0
SODIUM,1,24000.0,24000.0,24000.0,0,0.0,0,0.0
SULFATE,1,54000.0,54000.0,54000.0,0,0.0,0,0.0
TDS,1,310000.0,310000.0,310000.0,0,0.0,0,0.0
TOXAPHENE,1,21.0,21.0,21.0,1,1.0,0,0.0
VINYL CHLORIDE,1,0.77,0.77,0.77,0,0.0,0,0.0
POTASSIUM,1,5900.0,5900.0,5900.0,0,0.0,0,0.0
"HARDNESS, TOTAL (AS CACO3)",1,250000.0,250000.0,250000.0,0,0.0,0,0.0
PH,1,7.8,7.8,7.8,0,0.0,0,0.0
CORROSIVITY,1,0.4,0.4,0.4,1,1.0,0,0.0
"ALKALINITY, TOTAL",1,220000.0,220000.0,220000.0,0,0.0,0,0.0
ALUMINUM,1,36.0,36.0,36.0,0,0.0,0,0.0
CALCIUM,1,80000.0,80000.0,80000.0,0,0.0,0,0.0
CHLORIDE,1,29000.0,29000.0,29000.0,0,0.0,0,0.0
"CIS-1,2-DICHLOROETHYLENE",1,1.8,1.8,1.8,0,0.0,0,0.0
CONDUCTIVITY @ 25 C UMHOS/CM,1,600.0,600.0,600.0,0,0.0,0,0.0
ETHYLENE DIBROMIDE,1,68.0,68.0,68.0,1,1.0,0,0.0
O-DICHLOROBENZENE,1,0.84,0.84,0.84,0,0.0,0,0.0
"1,2-DIBROMO-3-CHLOROPROPANE",1,120.0,120.0,120.0,0,0.0,0,0.0
HEPTACHLOR EPOXIDE,1,210.0,210.0,210.0,1,1.0,0,0.0
MAGNESIUM,1,13000.0,13000.0,13000.0,0,0.0,0,0.0
MANGANESE,1,18.0,18.0,18.0,0,0.0,0,0.0
METOLACHLOR,1,0.52,0.52,0.52,0,0.0,0,0.0
NICKEL,1,1.2,1.2,1.2,0,0.0,0,0.0
ZINC,1,8.5,8.5,8.5,0,0.0,0,0.0
